,,,,,,,"Area 1",,,,,"Area 2",,,,,,,"Area 3",,,,,,,
,,,,,,,1A,1B,1C,1D,"Area 1",2A,2B,,,2C,2D,"Area 2",3A,,,,,,,"Area 3"
,,,,,,,,,,,,,2Bi,2Bii,2B,,,,3Ai,3Aii,3Aiii,3Aiv,3A,3B,3C,
Country,Year,State/Province,ISO_Code,"Economic Freedom Summary Index",Rank,Quantile,"General Consumption Expenditure","Transfers and subsidies","Insurance and Retirement Payments","Government enterprises and investment","Government Spending","Income and Payroll Tax Revenue","Top Marginal Income Tax Rate","Top Marginal Income Payroll tax Rate",world-adjusted,"Property Tax and Other Taxes","Sales Tax Revenue",Taxes,"Minimum Wage Legislation","Government Employment","Union Density","Hiring regulations and minimum wage","Labor Market Freedom","Credit Market Regulation","Business Regulations","Labor Market Freedom"
USA,2020,Alaska,US-AK,5.32,40,4,2.79,6,0,,2.93,9.67,,,10,4.91,8.81,8.35,6.76,3.08,4.19,,,,,4.68
USA,2020,Alabama,US-AL,6.41,22,2,6.91,4.51,5.31,,5.58,6.71,,,8,10,4,7.18,6.87,5.03,7.51,,,,,6.47
USA,2020,Arkansas,US-AR,6.3,27,3,7.72,6.14,6.65,,6.84,6.49,,,6.5,9.86,2.78,6.41,2.95,5.91,8.07,,,,,5.65
USA,2020,Arizona,US-AZ,5.87,32,3,9.32,0,6.11,,5.14,8.22,,,8,8.43,3.97,7.16,1.17,8.59,6.19,,,,,5.31
USA,2020,California,US-CA,4.59,49,4,6.58,3.56,0.75,,3.63,3.9,,,3,6.35,5.83,4.77,5.93,7.75,2.45,,,,,5.38
USA,2020,Colorado,US-CO,6.47,21,2,9.29,7.16,4.07,,6.84,6.41,,,7,6.85,5.57,6.46,4.69,7.09,6.58,,,,,6.12
USA,2020,Connecticut,US-CT,6.14,28,3,10,8.98,3.09,,7.36,3.98,,,7,3.51,6.55,5.26,7.23,8.29,1.88,,,,,5.8
USA,2020,Delaware,US-DE,5.19,41,4,6.14,0.4,5.51,,4.02,4.25,,,6,0.88,9.51,5.16,6.37,7.27,5.54,,,,,6.39
USA,2020,Florida,US-FL,7.94,1,1,9.68,7.94,7.78,,8.46,10,,,10,6.82,4.84,7.91,7.38,10,4.91,,,,,7.43
USA,2020,Georgia,US-GA,7.29,8,1,9.82,7.52,3.95,,7.1,6.63,,,7,8.1,6.37,7.02,8.33,8.46,6.49,,,,,7.76
USA,2020,Hawaii,US-HI,4.65,48,4,6.9,9.19,1.45,,5.85,5.32,,,4,6.54,0,3.97,5.46,6.95,0,,,,,4.14
USA,2020,Iowa,US-IA,6.14,28,3,6.42,5.61,4.8,,5.61,5.53,,,7.5,4.71,5.29,5.76,8.6,5.55,6.99,,,,,7.05
USA,2020,Idaho,US-ID,7.17,10,1,8.76,8.25,6.4,,7.8,5.95,,,6,8.02,5.67,6.41,7.55,7.02,7.3,,,,,7.29
USA,2020,Illinois,US-IL,5.82,34,3,8.89,8.92,0.04,,5.95,5.73,,,7,4.06,5.07,5.47,6.71,8.26,3.15,,,,,6.04
USA,2020,Indiana,US-IN,7.07,11,1,8,5.22,8.47,,7.23,5.39,,,8,8.83,4.74,6.74,8.32,7.73,5.64,,,,,7.23
USA,2020,Kansas,US-KS,7,14,2,7.67,9.64,6.73,,8.02,6.45,,,7,6.47,4.88,6.2,9.09,4.6,6.67,,,,,6.79
USA,2020,Kentucky,US-KY,5.63,36,3,6.85,2.28,1.83,,3.65,4.39,,,7,9.4,5.06,6.46,7.27,6.89,6.17,,,,,6.77
USA,2020,Louisiana,US-LA,6.49,20,2,6.76,6.53,2.04,,5.11,7.34,,,8,9.72,2.95,7,8.14,6.34,7.56,,,,,7.35
USA,2020,Massachusetts,US-MA,6.34,26,3,8.72,8.57,2.41,,6.57,3.63,,,7,5.28,8.11,6.01,6.39,9.58,3.37,,,,,6.44
USA,2020,Maryland,US-MD,6.05,30,3,8.3,4.61,5.27,,6.06,2.66,,,8,6.81,6.74,6.05,6.21,8.47,3.42,,,,,6.03
USA,2020,Maine,US-ME,5.05,45,4,7.32,7.38,4.84,,6.52,5.59,,,6,0.97,5.38,4.49,1.96,7.41,3.04,,,,,4.14
USA,2020,Michigan,US-MI,5.87,32,3,7.46,6.52,2.03,,5.33,7,,,8,6.29,6.74,7.01,5.05,7.93,2.79,,,,,5.26
USA,2020,Minnesota,US-MN,5.4,39,4,7.49,4.67,3.98,,5.38,4.19,,,5,6.22,5.16,5.14,6.61,7.7,2.76,,,,,5.69
USA,2020,Missouri,US-MO,6.82,15,2,8.61,8.13,4.49,,7.08,6.85,,,8,8.26,6.01,7.28,5.06,7.76,5.48,,,,,6.1
USA,2020,Mississippi,US-MS,5.49,37,3,4.84,6.11,2.06,,4.34,7.48,,,7,6.97,3.47,6.23,5.93,3.19,8.59,,,,,5.9
USA,2020,Montana,US-MT,6.6,18,2,7.68,9.08,4.06,,6.94,5.45,,,8,4.63,9.3,6.84,6.59,6.51,4.97,,,,,6.02
USA,2020,"North Carolina",US-NC,7.22,9,1,8.09,5.99,6.96,,7.01,6.34,,,7,8.4,5.69,6.86,8.18,6.61,8.55,,,,,7.78
USA,2020,"North Dakota",US-ND,7.3,7,1,7.39,7.48,5.83,,6.9,7.89,,,10,7.34,4.06,7.32,9.88,5.43,7.73,,,,,7.68
USA,2020,Nebraska,US-NE,6.74,16,2,8.72,8.28,7.53,,8.18,6.25,,,6,4.16,5.97,5.6,6.95,6.44,5.99,,,,,6.46
USA,2020,"New Hampshire",US-NH,7.84,2,1,10,7.26,8.09,,8.45,8.98,,,10,0.69,9.56,7.31,10,8.7,4.57,,,,,7.76
USA,2020,"New Jersey",US-NJ,5.42,38,4,9.54,6.63,2.45,,6.21,4.97,,,4,1.39,6.84,4.3,7.08,7.87,2.35,,,,,5.77
USA,2020,"New Mexico",US-NM,5.13,43,4,3.51,7.64,0.82,,3.99,8.19,,,7,9.05,1.01,6.31,4.11,2.26,8.92,,,,,5.1
USA,2020,Nevada,US-NV,6.36,25,2,9.97,5.69,2.14,,5.93,10,,,10,6.95,1.12,7.02,6.33,10,2.05,,,,,6.13
USA,2020,"New York",US-NY,4.25,50,4,5.75,6.68,1.64,,4.69,0.69,,,6,2.2,5.2,3.53,6.42,6.4,0.77,,,,,4.53
USA,2020,Ohio,US-OH,5.67,35,3,7.17,6.22,0,,4.47,6.11,,,8,7.18,4.75,6.51,6.54,7.78,3.81,,,,,6.04
USA,2020,Oklahoma,US-OK,7.04,12,1,9.01,6.35,6.1,,7.15,7.39,,,7,9.26,4.68,7.08,7.99,4.5,8.16,,,,,6.88
USA,2020,Oregon,US-OR,4.92,46,4,4.91,7.92,0.64,,4.49,2.8,,,6.5,4.81,9.49,5.9,2.75,7.76,2.61,,,,,4.37
USA,2020,Pennsylvania,US-PA,6.61,17,2,7.36,8.01,2.66,,6.01,5.5,,,8,6.09,6.09,6.42,9.92,9.57,2.69,,,,,7.39
USA,2020,"Puerto Rico",US-PR,2.04,51,4,7.03,0,0,,2.34,0,,,0,1.82,0,0.46,0,0,10,,,,,3.33
USA,2020,"Rhode Island",US-RI,5.16,42,4,7.07,7.46,0.31,,4.95,5.69,,,8,3.5,5.99,5.8,4.05,8.89,1.28,,,,,4.74
USA,2020,"South Carolina",US-SC,6.4,24,2,7.19,2.84,5.89,,5.31,6.71,,,6,6.66,6.45,6.45,7.7,5.54,9.1,,,,,7.45
USA,2020,"South Dakota",US-SD,7.75,3,1,10,7.69,7.46,,8.39,10,,,10,6.46,4.06,7.63,7.13,6.73,7.85,,,,,7.23
USA,2020,Tennessee,US-TN,7.66,4,1,9.55,4.07,7.66,,7.1,9.88,,,10,9.05,3.03,7.99,8.14,8.48,7.05,,,,,7.89
USA,2020,Texas,US-TX,7.66,4,1,9.46,7.86,6.35,,7.89,10,,,10,4.42,4.02,7.11,9.04,7.92,7.01,,,,,7.99
USA,2020,Utah,US-UT,7.04,12,1,7.85,4.06,7.81,,6.57,6.42,,,7,8.65,4.92,6.75,8.32,7.7,7.38,,,,,7.8
USA,2020,Virginia,US-VA,7.46,6,1,9.04,7.24,6.86,,7.71,5.34,,,7,6.29,6.98,6.4,10,7.25,7.57,,,,,8.27
USA,2020,Vermont,US-VT,4.7,47,4,4.12,3.55,4.87,,4.18,6.04,,,6,1.24,5.5,4.7,4.45,6.59,4.61,,,,,5.22
USA,2020,Washington,US-WA,5.95,31,3,8.52,7.56,4.55,,6.88,9.58,,,10,6.46,0.93,6.74,3.62,6.26,2.82,,,,,4.23
USA,2020,Wisconsin,US-WI,6.41,22,2,7.96,6.22,4.13,,6.11,5.14,,,6,6.05,6.17,5.84,8.97,7.07,5.79,,,,,7.28
USA,2020,"West Virginia",US-WV,5.12,44,4,5.14,4.98,3.16,,4.43,5.85,,,6,7.84,4.62,6.08,4.13,3,7.46,,,,,4.86
USA,2020,Wyoming,US-WY,6.51,19,2,3.32,10,2.35,,5.22,9.48,,,10,4.48,6.02,7.49,10,1.32,9.15,,,,,6.82
